Издатель,Количество игр,Средняя цена,Средние владельцы,Средний CCU,Суммарный доход (оценка),Средний метаскор,Средняя доля положительных отзывов
LilyGame,1,,10000.0,0.0,0.0,,0.1304
Lingon Studios,1,385.0,75000.0,76.0,28875000.0,,0.6887
LionArc,1,550.0,10000.0,0.0,5500000.0,,1.0
Little Bean Games,1,61.0,35000.0,0.0,2135000.0,,0.9617
Lizard Games Studio,1,,10000.0,108.0,0.0,,0.8438
Longbow Games,1,,10000.0,0.0,0.0,,0.9667
Loresoft,1,,10000.0,1.0,0.0,,0.0
Lot10Games,1,42.0,10000.0,0.0,420000.0,,0.4
Love-Joint,1,550.0,10000.0,94.0,5500000.0,,0.8043
"Lucasfilm, Disney",1,,75000.0,3.0,0.0,,0.9385
Ludosity,1,,10000.0,0.0,0.0,,0.0
LusionSoft,1,249.0,10000.0,0.0,2490000.0,,1.0
MAGIX Software GmbH,1,,10000.0,1.0,0.0,,0.3
MIDNIGHT WORKS Societatea cu Răspundere Limitată,1,,10000.0,0.0,0.0,,0.0
Mad Games,1,,10000.0,0.0,0.0,,0.0
Malzbie Games,2,,10000.0,0.0,0.0,,0.5
Marmalade Game Studio Ltd,1,620.0,350000.0,62.0,217000000.0,,0.8793
Marshall Games,1,42.0,10000.0,0.0,420000.0,,1.0
Mastermind Publishing,1,385.0,10000.0,0.0,3850000.0,,0.6875
Matan Cohen,1,,10000.0,0.0,0.0,,0.3125
Matt McGreevy,1,,10000.0,0.0,0.0,,0.0
MediaCube Games,1,,10000.0,0.0,0.0,,0.0
Mediator Software,1,,10000.0,0.0,0.0,,0.0
Megame LLC,1,,75000.0,6.0,0.0,,0.6619
Mi-Clos Studio,1,149.0,10000.0,0.0,1490000.0,,0.8
Middle Edge Software,1,165.0,10000.0,0.0,1650000.0,,0.0
Miga,1,,10000.0,0.0,0.0,,0.0
Might and Delight,1,,350000.0,0.0,0.0,,0.6036
Mighty Eyes,1,,75000.0,1.0,0.0,,0.8442
Mikhail Melnikov,1,,35000.0,0.0,0.0,,0.3056
Milestone S.r.l.,3,,10000.0,0.0,0.0,,0.5757666666666666
Miss Xero,1,,10000.0,0.0,0.0,,0.0
Modern Alchemy,1,,10000.0,0.0,0.0,,0.6667
Modus Interactive,1,82.0,10000.0,0.0,820000.0,,0.9375
MoeNovel,1,57.0,35000.0,0.0,1995000.0,,0.8315
Monavista pub,1,82.0,10000.0,0.0,820000.0,,0.0
"Monster Couch, Stonemaier Games, indienova",1,,10000.0,0.0,0.0,,0.875
Moregames,1,,10000.0,0.0,0.0,,0.0
MorpheusZ,1,,10000.0,0.0,0.0,,0.0
Most Dangerous Games,1,,10000.0,0.0,0.0,,0.0
Movavi,1,,10000.0,0.0,0.0,,0.5
My Way Games,1,23.0,75000.0,0.0,1725000.0,,0.7075
N3V Games,5,722.4,10000.0,0.0,28896000.0,,0.06666
NUMBER7,1,,10000.0,0.0,0.0,,0.0
Nami Tentou,3,,10000.0,0.0,0.0,,0.3333333333333333
Narko Games,1,42.0,10000.0,0.0,420000.0,,0.3519
