Разработчик,Количество игр,Средняя цена,Средние владельцы,Средний CCU,Суммарный доход (оценка),Средний метаскор
Boogygames Studios,8,70.57142857142857,13125.0,0.0,6990000.0,
Boomzap Entertainment,1,,10000.0,0.0,0.0,
"Boring People, LLC",1,,10000.0,0.0,0.0,
Bossa Studios,1,,150000.0,6.0,0.0,
Bossman Games,1,,10000.0,0.0,0.0,
Brad Smith,1,,10000.0,0.0,0.0,
BrashMonkey,1,,10000.0,0.0,0.0,
Bunlysh Studios,1,,10000.0,0.0,0.0,
Byking Inc.,1,,10000.0,0.0,0.0,
"Byzantine Games, The Lordz Games Studio",1,,10000.0,0.0,0.0,
"CAPCOM Co., Ltd.",6,,10000.0,0.0,0.0,
CCP,1,20400.0,10000.0,0.0,204000000.0,
CHAKRA 3D,1,309.0,10000.0,0.0,3090000.0,
"CITY CONNECTION, KADOKAWA CORPORATION",1,385.0,10000.0,0.0,3850000.0,
"COLOPL, Inc.",1,,10000.0,0.0,0.0,
CYZR,1,82.0,10000.0,0.0,820000.0,
Caged Element Inc.,1,,10000.0,0.0,0.0,
Caipirinha Games GmbH,1,125.0,10000.0,0.0,1250000.0,
"Caipirinha Games, DevQ1",1,129.0,10000.0,0.0,1290000.0,
Cakewalk,1,,35000.0,0.0,0.0,
Calthies,1,,35000.0,0.0,0.0,
Caos Creations,1,,35000.0,2.0,0.0,
Carlo D'Apostoli Projects,1,,10000.0,0.0,0.0,
Catpix Studios,1,,10000.0,0.0,0.0,
Catstudio,1,,10000.0,1.0,0.0,
Caz Game Design,1,,10000.0,0.0,0.0,
Celeritas Games,1,320.0,10000.0,0.0,3200000.0,
Ceruk,1,,10000.0,0.0,0.0,
Chad R. Banks,1,,35000.0,0.0,0.0,
Chaosmonger Studio,1,61.0,10000.0,0.0,610000.0,
Cherry Bloom,1,259.0,10000.0,0.0,2590000.0,
ChillyRoom,1,139.0,10000.0,0.0,1390000.0,
Choice of Games,1,,10000.0,0.0,0.0,
Chongming Studio,1,,10000.0,0.0,0.0,
"Chosuido, 超水道",1,245.0,10000.0,0.0,2450000.0,
Chris Folea,1,,10000.0,1.0,0.0,
Christoph Jakob (Disomikron),1,,10000.0,0.0,0.0,
Christopher Cinq-Mars Jarvis,1,,10000.0,0.0,0.0,
Christopher Yabsley,1,200.0,10000.0,0.0,2000000.0,
Cleardot Games,1,,10000.0,0.0,0.0,
Clever Plays,1,,10000.0,0.0,0.0,
Cloak and Dagger Games,1,,10000.0,0.0,0.0,
Code Society,1,,10000.0,0.0,0.0,
Codename Entertainment Inc.,2,,10000.0,0.0,0.0,
Cold Iron Studios,1,159.0,10000.0,0.0,1590000.0,
Complex Plane,1,,10000.0,0.0,0.0,
Compulsion Games,1,,10000.0,0.0,0.0,
Con Artist Games,1,,350000.0,0.0,0.0,
Coreloop,1,,10000.0,0.0,0.0,
Corrosive Studios LLC,1,,10000.0,0.0,0.0,
Cory Green,1,259.0,10000.0,0.0,2590000.0,
Cotton Game,1,,10000.0,0.0,0.0,
Covid Cowboys,1,,10000.0,0.0,0.0,
Cowleyfornia Studios,1,133.0,10000.0,0.0,1330000.0,
Crawly Games,1,,10000.0,0.0,0.0,
CrazySky3D,1,385.0,10000.0,0.0,3850000.0,
Crew Lab,1,42.0,10000.0,0.0,420000.0,
Criterion Games,1,,10000.0,0.0,0.0,
Critical Charm,1,259.0,10000.0,0.0,2590000.0,
Crying Cat Games,1,,10000.0,0.0,0.0,
Crystal Bat Studio,1,,10000.0,0.0,0.0,
Cute Hannah's Games,1,82.0,10000.0,0.0,820000.0,
D&D Dream,1,385.0,10000.0,0.0,3850000.0,
D-Ark Studio,1,299.0,35000.0,3.0,10465000.0,
D4 Laboratory,1,133.0,10000.0,0.0,1330000.0,
D47 Games,1,82.0,10000.0,0.0,820000.0,
DYSTANT Games,1,259.0,10000.0,0.0,2590000.0,
"Daniel Ritchie - Squirreldome.com, Philip Staiger - TheBest3D.com",1,200.0,10000.0,0.0,2000000.0,
"Darkworks, Spiral House",1,169.0,35000.0,1.0,5915000.0,66.0
David Mulder,1,42.0,10000.0,0.0,420000.0,
Davoo Software,1,,10000.0,0.0,0.0,
Dawnblaze Entertainment,1,30.0,35000.0,0.0,1050000.0,
Daybreak Game Company,2,,10000.0,0.0,0.0,
Decoder,1,129.0,10000.0,0.0,1290000.0,
Dennis M. Heine,1,,10000.0,0.0,0.0,
"Denny Truong, Andy Schneider",1,82.0,10000.0,0.0,820000.0,
"Devoured Studios, Ska Studios",1,,75000.0,12.0,0.0,
Dez,1,195.0,75000.0,0.0,14625000.0,
Dieselmine,1,415.0,10000.0,5.0,4150000.0,
DigiFX Interactive,1,,150000.0,1.0,0.0,
DigiPen Europe-Bilbao,1,,35000.0,0.0,0.0,
Digital Monster Collective,1,,35000.0,0.0,0.0,
Digital Tours Interactive,1,42.0,10000.0,0.0,420000.0,
Divine Light Games,1,82.0,10000.0,0.0,820000.0,
Doctor Shinobi,1,590.0,10000.0,0.0,5900000.0,
"Dolphin Horizon Games, Inc.",1,,10000.0,0.0,0.0,
"Dominik Kerschbaumer, Victoria Werner, Jonas Walz, Lukas Berger, Matthäus Luef, Lisa Schertler, Astrid Schwarz, Aliya Abdullayeva, Sophie Hennerbichler",1,,10000.0,0.0,0.0,
